index_code,date,close,previous_close,category
H30269.CSI,20250624,11668.0086,11639.5817,flat
H30269.CSI,20250625,11737.6464,11668.0086,up
H30269.CSI,20250626,11767.4254,11737.6464,flat
H30269.CSI,20250627,11578.3421,11767.4254,down
H30269.CSI,20250630,11544.8644,11578.3421,flat
H30269.CSI,20250701,11664.2806,11544.8644,up
H30269.CSI,20250702,11690.3539,11664.2806,flat
H30269.CSI,20250703,11692.7168,11690.3539,flat
H30269.CSI,20250704,11803.4995,11692.7168,up
H30269.CSI,20250707,11863.7132,11803.4995,up
H30269.CSI,20250708,11838.5343,11863.7132,flat
H30269.CSI,20250709,11902.5541,11838.5343,up
H30269.CSI,20250710,11946.9514,11902.5541,flat
H30269.CSI,20250711,11808.713,11946.9514,down
H30269.CSI,20250714,11884.8612,11808.713,up
H30269.CSI,20250715,11775.0805,11884.8612,down
H30269.CSI,20250716,11731.9346,11775.0805,flat
H30269.CSI,20250717,11697.787,11731.9346,flat
H30269.CSI,20250718,11756.5099,11697.787,up
H30269.CSI,20250721,11758.4197,11756.5099,flat
H30269.CSI,20250722,11781.1709,11758.4197,flat
H30269.CSI,20250723,11795.9125,11781.1709,flat
H30269.CSI,20250724,11703.8688,11795.9125,down
H30269.CSI,20250725,11625.286,11703.8688,down
H30269.CSI,20250728,11569.6462,11625.286,flat
H30269.CSI,20250729,11501.5985,11569.6462,down
H30269.CSI,20250730,11543.9766,11501.5985,flat
H30269.CSI,20250731,11400.1963,11543.9766,down
H30269.CSI,20250801,11397.9654,11400.1963,flat
H30269.CSI,20250804,11466.903,11397.9654,up
H30269.CSI,20250805,11603.0884,11466.903,up
H30269.CSI,20250806,11618.8287,11603.0884,flat
H30269.CSI,20250807,11656.1744,11618.8287,flat
H30269.CSI,20250808,11675.7949,11656.1744,flat
H30269.CSI,20250811,11600.8616,11675.7949,down
H30269.CSI,20250812,11641.7139,11600.8616,flat
H30269.CSI,20250813,11573.5982,11641.7139,down
H30269.CSI,20250814,11568.0434,11573.5982,flat
H30269.CSI,20250815,11530.9168,11568.0434,flat
H30269.CSI,20250818,11562.4487,11530.9168,flat
H30269.CSI,20250819,11569.3176,11562.4487,flat
H30269.CSI,20250820,11662.6382,11569.3176,up
H30269.CSI,20250821,11721.4548,11662.6382,up
H30269.CSI,20250822,11681.6958,11721.4548,flat
H30269.CSI,20250825,11788.3522,11681.6958,up
H30269.CSI,20250826,11759.8192,11788.3522,flat
H30269.CSI,20250827,11548.4431,11759.8192,down
H30269.CSI,20250828,11570.3755,11548.4431,flat
H30269.CSI,20250829,11516.8691,11570.3755,flat
H30269.CSI,20250901,11497.6225,11516.8691,flat
H30269.CSI,20250902,11593.7268,11497.6225,up
H30269.CSI,20250903,11464.957,11593.7268,down
H30269.CSI,20250904,11494.9289,11464.957,flat
H30269.CSI,20250905,11442.9609,11494.9289,flat
H30269.CSI,20250908,11456.9827,11442.9609,flat
H30269.CSI,20250909,11505.0736,11456.9827,flat
H30269.CSI,20250910,11484.5877,11505.0736,flat
H30269.CSI,20250911,11517.3077,11484.5877,flat
H30269.CSI,20250912,11430.2793,11517.3077,down
H30269.CSI,20250915,11342.1166,11430.2793,down
H30269.CSI,20250916,11294.3392,11342.1166,flat
H30269.CSI,20250917,11328.9774,11294.3392,flat
H30269.CSI,20250918,11104.3429,11328.9774,down
H30269.CSI,20250919,11173.0395,11104.3429,up
H30269.CSI,20250922,11090.3084,11173.0395,down
H30269.CSI,20250923,11165.4305,11090.3084,up
H30269.CSI,20250924,11155.5041,11165.4305,flat
H30269.CSI,20250925,11064.0291,11155.5041,down
H30269.CSI,20250926,11057.0151,11064.0291,flat
H30269.CSI,20250929,11051.1838,11057.0151,flat
H30269.CSI,20250930,10967.0639,11051.1838,down
H30269.CSI,20251009,10992.4929,10967.0639,flat
H30269.CSI,20251010,11074.1153,10992.4929,up
H30269.CSI,20251013,11142.0004,11074.1153,up
H30269.CSI,20251014,11339.3971,11142.0004,up
H30269.CSI,20251015,11398.2238,11339.3971,up
H30269.CSI,20251016,11455.0672,11398.2238,flat
H30269.CSI,20251017,11412.0329,11455.0672,flat
H30269.CSI,20251020,11419.2438,11412.0329,flat
H30269.CSI,20251021,11459.7201,11419.2438,flat
H30269.CSI,20251022,11530.8706,11459.7201,up
H30269.CSI,20251023,11591.3336,11530.8706,up
H30269.CSI,20251024,11514.3828,11591.3336,down
H30269.CSI,20251027,11520.7706,11514.3828,flat
H30269.CSI,20251028,11503.1395,11520.7706,flat
H30269.CSI,20251029,11411.0298,11503.1395,down
H30269.CSI,20251030,11421.1123,11411.0298,flat
H30269.CSI,20251031,11415.441,11421.1123,flat
H30269.CSI,20251103,11567.4151,11415.441,up
H30269.CSI,20251104,11688.8762,11567.4151,up
H30269.CSI,20251105,11692.4013,11688.8762,flat
H30269.CSI,20251106,11695.0704,11692.4013,flat
H30269.CSI,20251107,11696.6809,11695.0704,flat
H30269.CSI,20251110,11802.5904,11696.6809,up
H30269.CSI,20251111,11830.5688,11802.5904,flat
H30269.CSI,20251112,11919.9918,11830.5688,up
H30269.CSI,20251113,11908.5772,11919.9918,flat
H30269.CSI,20251114,11868.5902,11908.5772,flat
H30269.CSI,20251117,11771.0564,11868.5902,down
H30269.CSI,20251118,11684.9929,11771.0564,down
H30269.CSI,20251119,11704.4449,11684.9929,flat
H30269.CSI,20251120,11750.2293,11704.4449,flat
H30269.CSI,20251121,11592.0195,11750.2293,down
H30269.CSI,20251124,11521.2395,11592.0195,down
H30269.CSI,20251125,11592.0176,11521.2395,up
H30269.CSI,20251126,11520.9384,11592.0176,down
H30269.CSI,20251127,11541.7021,11520.9384,flat
H30269.CSI,20251128,11525.3201,11541.7021,flat
H30269.CSI,20251201,11617.1435,11525.3201,up
H30269.CSI,20251202,11606.6295,11617.1435,flat
H30269.CSI,20251203,11547.9044,11606.6295,down
H30269.CSI,20251204,11491.8522,11547.9044,flat
H30269.CSI,20251205,11425.5991,11491.8522,down
H30269.CSI,20251208,11398.8998,11425.5991,flat
H30269.CSI,20251209,11320.3223,11398.8998,down
H30269.CSI,20251210,11260.7844,11320.3223,down
H30269.CSI,20251211,11202.4094,11260.7844,down
H30269.CSI,20251212,11206.5096,11202.4094,flat
H30269.CSI,20251215,11236.04,11206.5096,flat
H30269.CSI,20251216,11185.8672,11236.04,flat
H30269.CSI,20251217,11197.3187,11185.8672,flat
H30269.CSI,20251218,11307.2755,11197.3187,up
H30269.CSI,20251219,11290.708,11307.2755,flat
H30269.CSI,20251222,11223.6029,11290.708,down
H30269.CSI,20251223,11244.5315,11223.6029,flat
H30269.CSI,20251224,11255.4488,11244.5315,flat
H30269.CSI,20251225,11268.0164,11255.4488,flat
H30269.CSI,20251226,11248.5608,11268.0164,flat
H30269.CSI,20251229,11251.6818,11248.5608,flat
H30269.CSI,20251230,11238.4824,11251.6818,flat
H30269.CSI,20251231,11239.9966,11238.4824,flat
H30269.CSI,20260105,11235.1817,11239.9966,flat
H30269.CSI,20260106,11248.3514,11235.1817,flat
H30269.CSI,20260107,11188.366,11248.3514,down
H30269.CSI,20260108,11119.0034,11188.366,down
H30269.CSI,20260109,11125.0068,11119.0034,flat
H30269.CSI,20260112,11141.687,11125.0068,flat
H30269.CSI,20260113,11169.9111,11141.687,flat
H30269.CSI,20260114,11051.6697,11169.9111,down
H30269.CSI,20260115,11026.2597,11051.6697,flat
H30269.CSI,20260116,10930.3461,11026.2597,down
H30269.CSI,20260119,10949.2607,10930.3461,flat
H30269.CSI,20260120,11110.6271,10949.2607,up
H30269.CSI,20260121,11019.9041,11110.6271,down
H30269.CSI,20260122,11039.9732,11019.9041,flat
H30269.CSI,20260123,10994.3237,11039.9732,flat
H30269.CSI,20260126,11051.7898,10994.3237,up
H30269.CSI,20260127,10991.5521,11051.7898,down
H30269.CSI,20260128,11016.8897,10991.5521,flat
H30269.CSI,20260129,11176.255,11016.8897,up
H30269.CSI,20260130,11168.1959,11176.255,flat
H30269.CSI,20260202,11026.0675,11168.1959,down
H30269.CSI,20260203,11006.1243,11026.0675,flat
H30269.CSI,20260204,11172.6629,11006.1243,up
H30269.CSI,20260205,11299.0111,11172.6629,up
H30269.CSI,20260206,11262.0053,11299.0111,flat
H30269.CSI,20260209,11314.0633,11262.0053,flat
H30269.CSI,20260210,11342.3017,11314.0633,flat
H30269.CSI,20260211,11369.3966,11342.3017,flat
H30269.CSI,20260212,11264.2016,11369.3966,down
H30269.CSI,20260213,11144.7749,11264.2016,down
H30269.CSI,20260224,11216.7071,11144.7749,up
H30269.CSI,20260225,11199.5939,11216.7071,flat
H30269.CSI,20260226,11177.5056,11199.5939,flat
H30269.CSI,20260227,11211.9964,11177.5056,flat
H30269.CSI,20260302,11321.9039,11211.9964,up
H30269.CSI,20260303,11424.7149,11321.9039,up
H30269.CSI,20260304,11280.9902,11424.7149,down
H30269.CSI,20260305,11309.8968,11280.9902,flat
H30269.CSI,20260306,11367.8234,11309.8968,up
H30269.CSI,20260309,11373.3768,11367.8234,flat
H30269.CSI,20260310,11340.5808,11373.3768,flat
H30269.CSI,20260311,11464.3255,11340.5808,up
H30269.CSI,20260312,11526.562,11464.3255,up
H30269.CSI,20260313,11550.1624,11526.562,flat
H30269.CSI,20260316,11547.395,11550.1624,flat
H30269.CSI,20260317,11574.0089,11547.395,flat
H30269.CSI,20260318,11531.9206,11574.0089,flat
H30269.CSI,20260319,11486.403,11531.9206,flat
H30269.CSI,20260320,11449.5314,11486.403,flat
H30269.CSI,20260323,11054.6887,11449.5314,down
H30269.CSI,20260324,11278.0054,11054.6887,up
H30269.CSI,20260325,11359.0246,11278.0054,up
H30269.CSI,20260326,11351.9626,11359.0246,flat
H30269.CSI,20260327,11310.6663,11351.9626,flat
H30269.CSI,20260330,11419.9833,11310.6663,up
H30269.CSI,20260331,11457.5013,11419.9833,flat
H30269.CSI,20260401,11466.0363,11457.5013,flat
H30269.CSI,20260402,11515.6429,11466.0363,flat
H30269.CSI,20260403,11353.9189,11515.6429,down
H30269.CSI,20260407,11292.3872,11353.9189,down
H30269.CSI,20260408,11400.6711,11292.3872,up
H30269.CSI,20260409,11316.187,11400.6711,down
H30269.CSI,20260410,11307.4814,11316.187,flat
H30269.CSI,20260413,11270.8193,11307.4814,flat
H30269.CSI,20260414,11319.7634,11270.8193,flat
H30269.CSI,20260415,11389.0182,11319.7634,up
H30269.CSI,20260416,11387.2652,11389.0182,flat
H30269.CSI,20260417,11361.1919,11387.2652,flat
H30269.CSI,20260420,11403.8262,11361.1919,flat
H30269.CSI,20260421,11465.9564,11403.8262,up
H30269.CSI,20260422,11418.6543,11465.9564,flat
H30269.CSI,20260423,11488.4915,11418.6543,up
H30269.CSI,20260424,11471.5551,11488.4915,flat
H30269.CSI,20260427,11356.1993,11471.5551,down
H30269.CSI,20260428,11395.8848,11356.1993,flat
H30269.CSI,20260429,11430.238,11395.8848,flat
H30269.CSI,20260430,11322.6872,11430.238,down
H30269.CSI,20260506,11266.6985,11322.6872,flat
H30269.CSI,20260507,11227.9743,11266.6985,flat
H30269.CSI,20260508,11222.0448,11227.9743,flat
H30269.CSI,20260511,11221.8301,11222.0448,flat
H30269.CSI,20260512,11214.5035,11221.8301,flat
